,Archetype,arrival_time,departure_time,time_in_park,max_wait,attractions_experienced,fastpass_used,total_wait_time,average_wait_time
97,Tourist,7,366,359,81,8,1,170,21.25
98,Tourist,7,575,568,103,6,1,77,12.833333333333334
99,Tourist,7,405,398,68,9,1,76,8.444444444444445
100,Tourist,7,488,481,114,8,0,238,29.75
101,Tourist,7,539,532,87,9,0,314,34.888888888888886
102,Tourist,7,462,455,107,13,1,166,12.76923076923077
103,Tourist,7,606,599,120,8,1,276,34.5
104,Tourist,7,554,547,58,13,1,98,7.538461538461538
105,Tourist,7,385,378,113,9,1,158,17.555555555555557
106,Tourist,7,403,396,118,12,1,208,17.333333333333332
107,Tourist,7,537,530,80,9,1,226,25.11111111111111
108,Tourist,7,599,592,61,4,1,39,9.75
109,Tourist,7,429,422,96,10,0,236,23.6
110,Tourist,8,425,417,70,9,1,150,16.666666666666668
111,Tourist,8,468,460,62,9,0,78,8.666666666666666
112,Tourist,8,501,493,110,7,1,235,33.57142857142857
113,Tourist,8,443,435,111,11,1,82,7.454545454545454
114,Tourist,8,514,506,117,10,1,73,7.3
115,Tourist,8,456,448,33,11,0,98,8.909090909090908
116,Tourist,8,520,512,68,5,1,143,28.6
117,Tourist,8,454,446,97,8,1,183,22.875
118,Tourist,8,609,601,35,4,1,0,0.0
119,Tourist,8,604,596,105,10,1,222,22.2
120,Tourist,8,517,509,100,10,1,238,23.8
121,Tourist,8,484,476,63,13,1,117,9.0
122,Tourist,8,544,536,79,9,1,229,25.444444444444443
123,Tourist,8,442,434,100,5,1,51,10.2
124,Tourist,8,518,510,60,10,1,171,17.1
125,Tourist,8,373,365,91,14,0,188,13.428571428571429
126,Tourist,8,391,383,65,8,0,189,23.625
127,Tourist,8,379,371,41,13,1,40,3.076923076923077
128,Tourist,8,368,360,102,9,0,216,24.0
129,Tourist,8,416,408,105,9,1,121,13.444444444444445
130,Tourist,8,524,516,95,10,1,234,23.4
131,Tourist,8,587,579,109,10,1,327,32.7
132,Tourist,9,496,487,63,5,1,9,1.8
133,Tourist,9,413,404,96,7,1,149,21.285714285714285
134,Tourist,9,516,507,100,16,1,265,16.5625
135,Tourist,9,376,367,87,11,1,178,16.181818181818183
136,Tourist,9,543,534,51,10,0,107,10.7
137,Tourist,9,599,590,44,8,1,73,9.125
138,Tourist,9,598,589,99,11,1,398,36.18181818181818
139,Tourist,9,600,591,75,10,1,230,23.0
140,Tourist,9,452,443,120,6,1,127,21.166666666666668
141,Tourist,9,398,389,54,13,0,171,13.153846153846153
142,Tourist,9,556,547,118,12,2,153,12.75
143,Tourist,9,421,412,50,7,1,70,10.0
144,Tourist,9,466,457,90,8,1,134,16.75
145,Tourist,9,319,310,107,6,0,86,14.333333333333334
146,Tourist,9,607,598,71,11,1,197,17.90909090909091
147,Tourist,9,594,585,118,10,1,333,33.3
148,Tourist,9,454,445,51,11,1,119,10.818181818181818
149,Tourist,9,332,323,45,9,1,95,10.555555555555555
150,Tourist,9,501,492,63,6,0,142,23.666666666666668
151,Tourist,10,648,638,53,11,1,147,13.363636363636363
152,Tourist,10,538,528,58,5,1,39,7.8
153,Tourist,10,402,392,37,10,1,54,5.4
154,Tourist,10,404,394,53,6,2,106,17.666666666666668
155,Tourist,10,364,354,50,4,0,130,32.5
156,Tourist,10,438,428,67,2,0,76,38.0
157,Tourist,10,457,447,118,6,1,126,21.0
158,Tourist,10,439,429,89,6,1,139,23.166666666666668
159,Tourist,10,511,501,50,10,1,129,12.9
160,Tourist,10,571,561,42,8,1,116,14.5
161,Tourist,10,511,501,99,8,1,232,29.0
162,Tourist,10,553,543,57,9,1,81,9.0
163,Tourist,10,378,368,107,11,0,198,18.0
164,Tourist,10,389,379,119,7,0,158,22.571428571428573
165,Tourist,10,450,440,56,5,0,78,15.6
166,Tourist,11,593,582,118,12,0,330,27.5
167,Tourist,11,498,487,97,12,1,238,19.833333333333332
168,Tourist,11,453,442,50,8,1,82,10.25
169,Tourist,11,466,455,66,8,1,216,27.0
170,Tourist,11,396,385,35,7,1,68,9.714285714285714
171,Tourist,11,543,532,69,9,1,130,14.444444444444445
172,Tourist,11,524,513,64,9,0,86,9.555555555555555
173,Tourist,11,339,328,59,9,1,61,6.777777777777778
174,Tourist,11,521,510,83,10,0,285,28.5
175,Tourist,11,447,436,56,11,1,133,12.090909090909092
176,Tourist,11,486,475,33,7,1,3,0.42857142857142855
177,Tourist,11,389,378,79,8,0,210,26.25
178,Tourist,12,536,524,65,10,1,188,18.8
179,Tourist,12,442,430,41,6,1,80,13.333333333333334
180,Tourist,12,568,556,83,12,1,297,24.75
181,Tourist,12,575,563,89,9,1,210,23.333333333333332
182,Tourist,12,567,555,94,10,1,295,29.5
183,Tourist,12,480,468,38,7,1,29,4.142857142857143
184,Tourist,12,391,379,111,10,0,186,18.6
185,Tourist,12,392,380,38,5,0,0,0.0
186,Tourist,12,331,319,91,10,1,55,5.5
187,Tourist,12,541,529,47,3,0,97,32.333333333333336
188,Tourist,12,600,588,86,15,1,378,25.2
189,Tourist,12,578,566,94,10,1,350,35.0
190,Tourist,12,433,421,100,9,1,195,21.666666666666668
191,Tourist,12,464,452,33,4,1,61,15.25
192,Tourist,12,396,384,79,8,1,74,9.25
193,Tourist,12,328,316,94,9,0,138,15.333333333333334
194,Tourist,13,328,315,41,9,0,36,4.0
195,Tourist,13,481,468,73,8,0,212,26.5
196,Tourist,13,500,487,93,10,0,248,24.8
197,Tourist,13,540,527,104,16,1,185,11.5625
198,Tourist,13,371,358,68,9,0,151,16.77777777777778
199,Tourist,13,349,336,103,13,2,107,8.23076923076923
200,Tourist,13,599,586,118,7,1,138,19.714285714285715
201,Tourist,13,560,547,56,6,1,138,23.0
202,Tourist,13,422,409,102,12,1,146,12.166666666666666
203,Tourist,13,572,559,40,8,1,80,10.0
204,Tourist,13,500,487,32,5,2,32,6.4
205,Tourist,13,350,337,62,8,1,77,9.625
206,Tourist,13,393,380,77,5,1,122,24.4
207,Tourist,13,319,306,34,5,1,52,10.4
208,Tourist,14,511,497,115,15,1,147,9.8
209,Tourist,14,380,366,107,10,1,195,19.5
210,Tourist,14,366,352,62,7,1,123,17.571428571428573
211,Tourist,14,589,575,64,13,1,112,8.615384615384615
212,Tourist,14,562,548,86,13,1,277,21.307692307692307
213,Tourist,14,425,411,99,9,1,142,15.777777777777779
214,Tourist,14,614,600,98,9,0,322,35.77777777777778
215,Tourist,14,520,506,99,5,0,303,60.6
216,Tourist,14,649,635,84,11,1,413,37.54545454545455
217,Tourist,14,558,544,39,5,0,37,7.4
218,Tourist,14,329,315,42,6,1,54,9.0
219,Tourist,14,605,591,62,12,1,94,7.833333333333333
220,Tourist,14,371,357,50,6,1,95,15.833333333333334
221,Tourist,14,362,348,101,5,0,160,32.0
222,Tourist,14,642,628,117,18,1,377,20.944444444444443
223,Tourist,14,486,472,106,9,1,145,16.11111111111111
224,Tourist,14,516,502,105,8,0,205,25.625
225,Tourist,14,370,356,103,6,1,110,18.333333333333332
226,Tourist,14,527,513,80,10,0,340,34.0
227,Tourist,15,449,434,51,7,0,56,8.0
228,Tourist,15,401,386,39,6,0,31,5.166666666666667
229,Tourist,15,403,388,104,9,1,212,23.555555555555557
230,Tourist,15,511,496,80,15,1,296,19.733333333333334
231,Tourist,15,429,414,86,5,1,68,13.6
232,Tourist,15,587,572,115,9,1,116,12.88888888888889
233,Tourist,15,422,407,52,9,1,74,8.222222222222221
234,Tourist,15,466,451,83,5,0,205,41.0
235,Tourist,15,400,385,105,13,0,165,12.692307692307692
236,Tourist,15,459,444,78,12,0,155,12.916666666666666
237,Tourist,15,329,314,46,7,0,52,7.428571428571429
238,Tourist,16,439,423,64,8,0,152,19.0
239,Tourist,16,326,310,111,7,1,120,17.142857142857142
240,Tourist,16,421,405,55,7,0,147,21.0
241,Tourist,16,533,517,45,5,0,23,4.6
242,Tourist,16,406,390,60,5,1,49,9.8
243,Tourist,16,577,561,101,12,1,317,26.416666666666668
244,Tourist,16,454,438,83,10,1,249,24.9
245,Tourist,16,468,452,114,4,1,46,11.5
246,Tourist,16,605,589,94,12,1,106,8.833333333333334
247,Tourist,16,498,482,37,7,0,37,5.285714285714286
248,Tourist,16,356,340,39,9,0,69,7.666666666666667
249,Tourist,16,420,404,80,9,1,50,5.555555555555555
250,Tourist,17,355,338,62,11,1,121,11.0
251,Tourist,17,517,500,107,12,1,83,6.916666666666667
252,Tourist,17,318,301,117,8,1,184,23.0
253,Tourist,17,464,447,46,4,0,72,18.0
254,Tourist,17,485,468,58,12,1,47,3.9166666666666665
255,Tourist,17,549,532,81,10,1,255,25.5
256,Tourist,17,604,587,56,13,1,105,8.076923076923077
257,Tourist,17,488,471,56,7,1,47,6.714285714285714
258,Tourist,17,429,412,80,5,1,159,31.8
259,Tourist,17,444,427,111,8,1,146,18.25
260,Tourist,17,521,504,94,11,1,302,27.454545454545453
261,Tourist,17,409,392,119,6,1,136,22.666666666666668
262,Tourist,17,467,450,48,8,1,67,8.375
263,Tourist,17,557,540,33,7,1,66,9.428571428571429
264,Tourist,17,457,440,86,6,0,235,39.166666666666664
265,Tourist,17,485,468,62,8,1,167,20.875
266,Tourist,17,596,579,57,9,1,58,6.444444444444445
267,Tourist,17,553,536,57,13,1,179,13.76923076923077
268,Tourist,17,542,525,59,8,1,44,5.5
269,Tourist,17,527,510,75,7,1,242,34.57142857142857
270,Tourist,18,343,325,82,16,0,202,12.625
271,Tourist,18,422,404,58,8,1,105,13.125
272,Tourist,18,436,418,73,8,1,241,30.125
273,Tourist,18,416,398,106,7,1,136,19.428571428571427
274,Tourist,18,546,528,93,9,0,317,35.22222222222222
275,Tourist,18,486,468,56,15,0,55,3.6666666666666665
276,Tourist,18,447,429,42,5,1,66,13.2
277,Tourist,18,378,360,59,14,0,189,13.5
278,Tourist,18,540,522,65,6,1,116,19.333333333333332
279,Tourist,18,466,448,46,10,0,119,11.9
280,Tourist,18,452,434,68,6,0,153,25.5
281,Tourist,18,612,594,92,14,1,411,29.357142857142858
282,Tourist,18,609,591,32,7,1,14,2.0
283,Tourist,18,533,515,109,5,1,140,28.0
284,Tourist,18,424,406,68,3,1,79,26.333333333333332
285,Tourist,18,386,368,104,11,0,190,17.272727272727273
286,Tourist,18,462,444,62,7,2,121,17.285714285714285
287,Tourist,18,510,492,74,11,2,170,15.454545454545455
288,Tourist,18,494,476,101,7,1,206,29.428571428571427
289,Tourist,18,461,443,54,11,0,90,8.181818181818182
290,Tourist,19,571,552,89,7,1,206,29.428571428571427
291,Tourist,19,531,512,96,8,1,130,16.25
292,Tourist,19,461,442,99,9,0,184,20.444444444444443
293,Tourist,19,344,325,54,6,1,93,15.5
294,Tourist,19,438,419,66,4,1,50,12.5
295,Tourist,19,348,329,101,5,1,112,22.4
296,Tourist,19,482,463,80,5,1,278,55.6
297,Tourist,19,369,350,62,10,1,138,13.8
298,Tourist,19,580,561,56,9,2,54,6.0
299,Tourist,19,454,435,103,5,0,117,23.4
300,Tourist,19,519,500,110,9,1,253,28.11111111111111
301,Tourist,19,348,329,84,12,1,186,15.5
302,Tourist,19,549,530,94,11,1,203,18.454545454545453
303,Tourist,20,492,472,47,9,1,131,14.555555555555555
304,Tourist,20,588,568,78,8,1,184,23.0
305,Tourist,20,498,478,52,9,1,82,9.11111111111111
306,Tourist,20,519,499,78,8,1,171,21.375
307,Tourist,20,538,518,85,9,1,236,26.22222222222222
308,Tourist,20,457,437,101,6,0,165,27.5
309,Tourist,20,368,348,37,2,1,0,0.0
310,Tourist,20,415,395,75,8,1,178,22.25
311,Tourist,20,598,578,94,11,1,322,29.272727272727273
312,Tourist,20,325,305,62,7,0,140,20.0
313,Tourist,20,532,512,42,11,1,65,5.909090909090909
314,Tourist,20,524,504,91,7,1,195,27.857142857142858
315,Tourist,20,495,475,98,11,0,190,17.272727272727273
316,Tourist,20,363,343,40,6,0,63,10.5
317,Tourist,20,516,496,62,7,1,120,17.142857142857142
318,Tourist,20,445,425,74,9,0,127,14.11111111111111
319,Tourist,20,467,447,113,5,1,165,33.0
320,Tourist,20,584,564,82,7,1,243,34.714285714285715
321,Tourist,20,605,585,61,11,1,217,19.727272727272727
322,Tourist,21,479,458,75,3,0,253,84.33333333333333
323,Tourist,21,594,573,85,5,1,106,21.2
324,Tourist,21,407,386,69,8,1,118,14.75
325,Tourist,21,371,350,118,4,0,128,32.0
326,Tourist,21,642,621,118,12,0,365,30.416666666666668
327,Tourist,21,588,567,56,10,1,54,5.4
328,Tourist,21,606,585,83,11,1,359,32.63636363636363
329,Tourist,21,375,354,50,5,0,75,15.0
330,Tourist,21,358,337,32,7,1,43,6.142857142857143
331,Tourist,21,395,374,37,5,0,5,1.0
332,Tourist,21,460,439,111,12,0,268,22.333333333333332
333,Tourist,21,609,588,92,6,1,255,42.5
334,Tourist,21,449,428,31,9,1,34,3.7777777777777777
335,Tourist,21,549,528,101,10,1,264,26.4
336,Tourist,21,525,504,76,11,1,253,23.0
337,Tourist,21,436,415,45,6,1,67,11.166666666666666
338,Tourist,21,574,553,57,11,1,153,13.909090909090908
339,Tourist,21,601,580,112,10,0,352,35.2
340,Tourist,21,604,583,102,13,1,401,30.846153846153847
341,Tourist,21,438,417,75,8,1,174,21.75
342,Tourist,21,449,428,95,12,1,161,13.416666666666666
343,Tourist,21,400,379,34,4,0,67,16.75
344,Tourist,21,540,519,85,11,1,280,25.454545454545453
345,Tourist,21,336,315,35,16,1,78,4.875
346,Tourist,21,430,409,32,8,1,70,8.75
347,Tourist,21,441,420,68,12,1,135,11.25
348,Tourist,21,479,458,60,11,1,69,6.2727272727272725
349,Tourist,21,410,389,115,9,0,185,20.555555555555557
350,Tourist,21,601,580,57,12,1,144,12.0
351,Tourist,21,497,476,88,8,1,153,19.125
352,Tourist,22,561,539,69,7,1,185,26.428571428571427
353,Tourist,22,495,473,38,5,2,87,17.4
354,Tourist,22,596,574,39,6,1,69,11.5
355,Tourist,22,611,589,49,8,1,39,4.875
356,Tourist,22,504,482,50,6,1,93,15.5
357,Tourist,22,428,406,91,15,1,203,13.533333333333333
358,Tourist,22,521,499,99,9,1,231,25.666666666666668
359,Tourist,22,496,474,105,9,1,230,25.555555555555557
360,Tourist,22,326,304,32,4,0,31,7.75
361,Tourist,22,458,436,87,4,1,56,14.0
362,Tourist,22,390,368,35,4,1,53,13.25
363,Tourist,22,372,350,46,7,1,64,9.142857142857142
364,Tourist,22,458,436,58,7,1,127,18.142857142857142
365,Tourist,22,520,498,98,10,1,269,26.9
366,Tourist,22,508,486,70,10,1,134,13.4
367,Tourist,22,486,464,40,9,1,83,9.222222222222221
368,Tourist,22,534,512,74,11,1,218,19.818181818181817
369,Tourist,22,560,538,36,4,1,21,5.25
370,Tourist,22,386,364,91,7,0,150,21.428571428571427
371,Tourist,22,354,332,47,9,1,91,10.11111111111111
372,Tourist,22,575,553,65,6,1,179,29.833333333333332
373,Tourist,22,569,547,83,21,1,228,10.857142857142858
374,Tourist,22,540,518,91,7,2,249,35.57142857142857
375,Tourist,22,470,448,82,7,1,223,31.857142857142858
376,Tourist,23,378,355,105,8,1,132,16.5
377,Tourist,23,594,571,55,7,1,131,18.714285714285715
378,Tourist,23,524,501,42,8,1,131,16.375
379,Tourist,23,608,585,117,15,1,211,14.066666666666666
380,Tourist,23,546,523,44,10,1,23,2.3
381,Tourist,23,616,593,40,9,1,10,1.1111111111111112
382,Tourist,23,579,556,100,16,1,347,21.6875
383,Tourist,23,581,558,107,8,0,217,27.125
384,Tourist,23,558,535,88,8,1,196,24.5
385,Tourist,23,390,367,68,4,1,7,1.75
386,Tourist,23,366,343,105,8,1,149,18.625
387,Tourist,23,570,547,84,6,1,156,26.0
388,Tourist,23,466,443,89,9,0,265,29.444444444444443
389,Tourist,23,536,513,116,6,1,127,21.166666666666668
390,Tourist,23,622,599,58,14,1,158,11.285714285714286
391,Tourist,23,603,580,35,12,1,36,3.0
392,Tourist,23,416,393,64,9,0,182,20.22222222222222
393,Tourist,23,586,563,75,7,2,245,35.0
394,Tourist,23,501,478,36,5,1,86,17.2
395,Tourist,23,570,547,66,8,0,151,18.875
396,Tourist,23,527,504,76,8,0,272,34.0
397,Tourist,23,514,491,116,13,2,81,6.230769230769231
398,Tourist,23,598,575,43,6,1,63,10.5
399,Tourist,23,408,385,64,9,1,117,13.0
400,Tourist,23,539,516,85,11,1,289,26.272727272727273
401,Tourist,23,336,313,100,5,1,116,23.2
402,Tourist,24,507,483,60,7,1,126,18.0
403,Tourist,24,476,452,81,14,1,234,16.714285714285715
404,Tourist,24,511,487,95,10,0,231,23.1
405,Tourist,24,517,493,103,6,1,141,23.5
406,Tourist,24,605,581,65,8,1,122,15.25
407,Tourist,24,567,543,38,7,2,58,8.285714285714286
408,Tourist,24,537,513,104,4,1,167,41.75
409,Tourist,24,409,385,42,8,1,78,9.75
410,Tourist,24,538,514,98,14,0,260,18.571428571428573
411,Tourist,24,609,585,59,6,0,138,23.0
412,Tourist,24,540,516,111,5,0,247,49.4
413,Tourist,24,560,536,91,16,1,263,16.4375
414,Tourist,24,390,366,84,11,1,151,13.727272727272727
415,Tourist,24,621,597,85,9,1,399,44.333333333333336
416,Tourist,24,410,386,40,9,1,29,3.2222222222222223
417,Tourist,24,529,505,106,11,0,237,21.545454545454547
418,Tourist,24,482,458,84,9,0,147,16.333333333333332
419,Tourist,24,428,404,78,5,0,150,30.0
420,Tourist,24,613,589,106,5,1,100,20.0
421,Tourist,24,374,350,61,10,1,127,12.7
422,Tourist,25,335,310,51,2,0,36,18.0
423,Tourist,25,540,515,89,10,0,223,22.3
424,Tourist,25,589,564,88,7,1,228,32.57142857142857
425,Tourist,25,471,446,53,9,1,97,10.777777777777779
426,Tourist,25,598,573,74,10,1,309,30.9
427,Tourist,25,603,578,33,5,1,39,7.8
428,Tourist,25,623,598,80,4,1,126,31.5
429,Tourist,25,589,564,53,7,1,161,23.0
430,Tourist,25,459,434,49,5,0,66,13.2
431,Tourist,25,445,420,63,13,1,164,12.615384615384615
432,Tourist,25,341,316,68,14,1,184,13.142857142857142
433,Tourist,25,617,592,70,6,1,161,26.833333333333332
434,Tourist,25,484,459,91,8,1,255,31.875
435,Tourist,25,501,476,64,3,1,58,19.333333333333332
436,Tourist,25,554,529,105,10,1,346,34.6
437,Tourist,25,559,534,55,9,1,188,20.88888888888889
438,Tourist,25,438,413,99,6,1,233,38.833333333333336
439,Tourist,25,575,550,114,8,1,143,17.875
440,Tourist,25,481,456,111,10,1,185,18.5
441,Tourist,25,540,515,94,4,1,127,31.75
442,Tourist,25,484,459,89,5,0,250,50.0
443,Tourist,25,622,597,106,9,1,107,11.88888888888889
444,Tourist,25,575,550,89,6,1,276,46.0
445,Tourist,25,333,308,38,4,0,97,24.25
446,Tourist,25,402,377,94,8,1,53,6.625
447,Tourist,25,532,507,105,8,1,276,34.5
448,Tourist,26,502,476,47,5,1,76,15.2
449,Tourist,26,582,556,110,9,1,326,36.22222222222222
450,Tourist,26,378,352,67,8,1,75,9.375
451,Tourist,26,616,590,43,8,1,37,4.625
452,Tourist,26,417,391,106,8,0,107,13.375
453,Tourist,26,547,521,115,14,1,229,16.357142857142858
454,Tourist,26,459,433,57,2,0,96,48.0
455,Tourist,26,434,408,106,13,1,254,19.53846153846154
456,Tourist,26,501,475,34,4,0,0,0.0
457,Tourist,26,512,486,118,11,1,217,19.727272727272727
458,Tourist,26,519,493,92,7,1,253,36.142857142857146
459,Tourist,26,571,545,53,4,1,95,23.75
460,Tourist,26,476,450,119,9,1,189,21.0
461,Tourist,26,481,455,49,5,1,111,22.2
462,Tourist,26,381,355,31,6,1,76,12.666666666666666
463,Tourist,26,491,465,65,6,1,39,6.5
464,Tourist,26,493,467,106,7,1,192,27.428571428571427
465,Tourist,26,437,411,34,2,1,0,0.0
466,Tourist,26,348,322,67,3,0,99,33.0
467,Tourist,26,499,473,99,12,1,136,11.333333333333334
468,Tourist,26,608,582,32,5,1,14,2.8
469,Tourist,26,396,370,115,7,0,181,25.857142857142858
470,Tourist,26,576,550,64,7,1,156,22.285714285714285
471,Tourist,26,544,518,104,11,0,296,26.90909090909091
472,Tourist,26,485,459,51,9,2,183,20.333333333333332
473,Tourist,26,486,460,79,15,1,224,14.933333333333334
474,Tourist,26,573,547,71,10,1,340,34.0
475,Tourist,26,363,337,61,5,0,40,8.0
476,Tourist,26,454,428,42,6,2,103,17.166666666666668
477,Tourist,26,351,325,49,8,1,87,10.875
478,Tourist,27,379,352,59,6,0,32,5.333333333333333
479,Tourist,27,393,366,37,10,1,76,7.6
480,Tourist,27,473,446,39,7,1,63,9.0
481,Tourist,27,445,418,88,7,1,192,27.428571428571427
482,Tourist,27,549,522,79,10,0,254,25.4
483,Tourist,27,477,450,47,11,1,79,7.181818181818182
484,Tourist,27,337,310,68,8,0,202,25.25
485,Tourist,27,434,407,105,4,0,162,40.5
486,Tourist,27,440,413,109,8,0,214,26.75
487,Tourist,27,499,472,118,7,0,245,35.0
488,Tourist,27,618,591,48,5,1,48,9.6
489,Tourist,27,531,504,51,9,1,112,12.444444444444445
490,Tourist,27,582,555,102,8,1,303,37.875
491,Tourist,27,370,343,63,6,0,80,13.333333333333334
492,Tourist,27,442,415,96,10,1,118,11.8
493,Tourist,27,620,593,75,9,1,197,21.88888888888889
494,Tourist,27,619,592,76,11,1,320,29.09090909090909
495,Tourist,27,558,531,78,10,1,266,26.6
496,Tourist,28,366,338,85,6,0,96,16.0
497,Tourist,28,608,580,84,7,1,94,13.428571428571429
498,Tourist,28,525,497,87,7,1,340,48.57142857142857
499,Tourist,28,556,528,47,12,1,119,9.916666666666666
500,Tourist,28,541,513,39,3,1,44,14.666666666666666
501,Tourist,28,373,345,51,4,1,7,1.75
502,Tourist,28,570,542,53,5,1,108,21.6
503,Tourist,28,550,522,76,11,2,210,19.09090909090909
504,Tourist,28,577,549,49,4,1,88,22.0
505,Tourist,28,583,555,42,11,1,76,6.909090909090909
506,Tourist,28,533,505,76,10,1,298,29.8
507,Tourist,28,468,440,88,8,1,260,32.5
508,Tourist,28,543,515,82,15,1,239,15.933333333333334
509,Tourist,28,527,499,46,7,1,53,7.571428571428571
510,Tourist,28,623,595,54,12,1,90,7.5
511,Tourist,28,530,502,43,3,1,58,19.333333333333332
512,Tourist,28,497,469,83,4,1,82,20.5
513,Tourist,28,537,509,92,8,1,227,28.375
514,Tourist,28,618,590,87,6,1,355,59.166666666666664
